Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,Flashback,DRX,"['Cypher', 'Viper']",1.07,238,51/34/9,17,83%,154,24%,6,2,4
all,BuZz,DRX,"['Jett', 'Raze']",0.97,247,43/41/12,2,68%,162,15%,9,9,0
all,Foxy9,DRX,"['Breach', 'Kayo', 'Gekko']",0.93,190,36/37/20,-1,66%,129,32%,2,7,-5
all,MaKo,DRX,"['Omen', 'Brimstone']",0.91,154,25/35/21,-10,70%,104,22%,4,5,-1
all,BeYN,DRX,"['Sova', 'Fade']",0.86,169,35/36/10,-1,66%,114,27%,4,5,-1
all,Melser,KRÜ,"['Omen', 'Harbor', 'Brimstone']",1.31,213,36/33/19,3,70%,133,27%,5,5,0
all,keznit,KRÜ,"['Neon', 'Omen', 'Raze']",1.21,277,48/40/16,8,64%,176,27%,11,5,6
all,Shyy,KRÜ,"['Cypher', 'Viper']",1.03,179,32/38/18,-6,60%,115,24%,8,8,0
all,heat,KRÜ,"['Breach', 'Sova', 'Fade']",0.96,173,36/39/16,-3,74%,116,27%,2,2,0
all,mta,KRÜ,"['Sova', 'Kayo', 'Gekko']",0.82,162,31/40/17,-9,75%,119,27%,2,5,-3
Haven,MaKo,DRX,['Omen'],0.8,160,8/13/4,-5,53%,106,16%,0,2,-2
Haven,Flashback,DRX,['Cypher'],0.57,171,9/13/0,-4,60%,101,21%,1,0,1
Haven,Foxy9,DRX,['Breach'],0.55,149,7/14/5,-7,53%,98,33%,0,3,-3
Haven,BuZz,DRX,['Jett'],0.39,181,7/15/3,-8,47%,122,7%,1,4,-3
Haven,BeYN,DRX,['Sova'],0.3,85,5/14/3,-9,47%,60,50%,0,4,-4
Haven,Melser,KRÜ,['Omen'],2.36,394,22/4/7,18,87%,247,29%,5,1,4
Haven,keznit,KRÜ,['Neon'],1.7,365,18/9/10,9,87%,232,32%,5,0,5
Haven,Shyy,KRÜ,['Cypher'],1.45,227,13/9/10,4,80%,143,24%,3,1,2
Haven,heat,KRÜ,['Breach'],1.31,170,10/7/9,3,93%,127,18%,0,0,0
Haven,mta,KRÜ,['Sova'],0.76,79,6/7/1,-1,80%,50,36%,0,0,0
Abyss,Flashback,DRX,['Cypher'],1.43,341,27/13/6,14,100%,221,32%,4,1,3
Abyss,BuZz,DRX,['Jett'],1.14,228,13/12/7,1,74%,152,9%,4,2,2
Abyss,MaKo,DRX,['Omen'],1.11,190,12/11/8,1,79%,124,26%,3,1,2
Abyss,BeYN,DRX,['Sova'],1.03,206,15/13/2,2,58%,126,26%,2,1,1
Abyss,Foxy9,DRX,['Kayo'],1.03,172,10/11/10,-1,68%,121,24%,0,1,-1
Abyss,mta,KRÜ,['Kayo'],1.31,285,19/16/9,3,79%,209,33%,2,3,-1
Abyss,keznit,KRÜ,['Omen'],0.92,242,16/15/3,1,58%,167,24%,2,3,-1
Abyss,heat,KRÜ,['Sova'],0.81,174,12/15/4,-3,68%,121,35%,1,1,0
Abyss,Shyy,KRÜ,['Cypher'],0.73,119,7/15/4,-8,53%,86,20%,1,4,-3
Abyss,Melser,KRÜ,['Harbor'],0.61,109,6/16/6,-10,58%,77,25%,0,2,-2
Bind,BuZz,DRX,['Raze'],1.39,331,23/14/2,9,79%,205,29%,4,3,1
Bind,BeYN,DRX,['Fade'],1.27,217,15/9/5,6,89%,145,24%,2,0,2
Bind,Foxy9,DRX,['Gekko'],1.22,249,19/12/5,7,74%,161,41%,2,3,-1
Bind,Flashback,DRX,['Viper'],1.21,201,15/8/3,7,84%,129,16%,1,1,0
Bind,MaKo,DRX,['Brimstone'],0.81,111,5/11/9,-6,74%,82,24%,1,2,-1
Bind,keznit,KRÜ,['Raze'],1.02,225,14/16/3,-2,53%,140,24%,4,2,2
Bind,Melser,KRÜ,['Brimstone'],0.95,137,8/13/6,-5,68%,100,23%,0,2,-2
Bind,Shyy,KRÜ,['Viper'],0.91,191,12/14/4,-2,53%,124,29%,4,3,1
Bind,heat,KRÜ,['Fade'],0.76,174,14/17/3,-3,63%,102,30%,1,1,0
Bind,mta,KRÜ,['Gekko'],0.4,122,6/17/7,-11,68%,84,13%,0,2,-2
