Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,leaf,G2,['Killjoy'],1.28,241,37/27/10,10,81%,167,20%,5,2,3
all,trent,G2,"['Sova', 'Fade']",1.18,231,34/29/17,5,70%,148,25%,7,3,4
all,icy,G2,"['Gekko', 'Raze']",1.15,214,35/29/9,6,74%,134,32%,7,1,6
all,JonahP,G2,['Viper'],1.15,224,34/31/11,3,70%,149,28%,6,5,1
all,valyn,G2,"['Harbor', 'Omen']",1.08,202,30/28/24,2,77%,122,15%,3,4,-1
all,f0rsakeN,PRX,"['Sova', 'Kayo']",0.99,211,33/34/19,-1,70%,135,37%,1,4,-3
all,mindfreak,PRX,"['Viper', 'Omen']",0.96,225,34/32/17,2,77%,129,31%,2,4,-2
all,Jinggg,PRX,"['Sage', 'Neon']",0.81,183,25/35/17,-10,67%,125,19%,4,11,-7
all,something,PRX,['Jett'],0.79,196,29/33/6,-4,58%,133,22%,6,5,1
all,d4v41,PRX,"['Killjoy', 'Fade']",0.7,170,23/36/10,-13,70%,117,26%,2,4,-2
Icebox,leaf,G2,['Killjoy'],1.36,288,21/14/6,7,81%,202,21%,1,2,-1
Icebox,valyn,G2,['Harbor'],1.28,229,17/13/8,4,71%,148,16%,1,2,-1
Icebox,JonahP,G2,['Viper'],1.11,184,13/15/9,-2,71%,131,21%,3,0,3
Icebox,trent,G2,['Sova'],1.09,190,14/14/7,0,71%,126,23%,5,2,3
Icebox,icy,G2,['Gekko'],1.06,209,17/15/8,2,76%,118,32%,4,1,3
Icebox,Jinggg,PRX,['Sage'],1.11,216,16/14/9,2,76%,142,29%,1,3,-2
Icebox,mindfreak,PRX,['Viper'],1.06,258,20/15/8,5,76%,143,33%,2,3,-1
Icebox,f0rsakeN,PRX,['Sova'],0.77,182,14/17/5,-3,62%,123,38%,0,2,-2
Icebox,something,PRX,['Jett'],0.66,203,14/18/3,-4,57%,126,19%,4,4,0
Icebox,d4v41,PRX,['Killjoy'],0.5,115,7/18/4,-11,62%,88,28%,0,2,-2
Lotus,trent,G2,['Fade'],1.27,271,20/15/10,5,68%,170,26%,2,1,1
Lotus,icy,G2,['Raze'],1.24,218,18/14/1,4,73%,148,33%,3,0,3
Lotus,leaf,G2,['Killjoy'],1.19,194,16/13/4,3,82%,134,19%,4,0,4
Lotus,JonahP,G2,['Viper'],1.18,263,21/16/2,5,68%,166,33%,3,5,-2
Lotus,valyn,G2,['Omen'],0.88,174,13/15/16,-2,82%,97,15%,2,2,0
Lotus,f0rsakeN,PRX,['Kayo'],1.22,239,19/17/14,2,77%,146,36%,1,2,-1
Lotus,something,PRX,['Jett'],0.91,189,15/15/3,0,59%,138,26%,2,1,1
Lotus,d4v41,PRX,['Fade'],0.89,225,16/18/6,-2,77%,145,25%,2,2,0
Lotus,mindfreak,PRX,['Omen'],0.86,192,14/17/9,-3,77%,116,29%,0,1,-1
Lotus,Jinggg,PRX,['Neon'],0.51,150,9/21/8,-12,59%,109,11%,3,8,-5
