Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,kiNgg,LEV,"['Brimstone', 'Omen']",1.34,230,41/24/15,17,78%,144,31%,5,3,2
all,aspas,LEV,"['Raze', 'Jett']",1.29,244,37/29/10,8,76%,163,29%,11,3,8
all,C0M,LEV,"['Viper', 'Sova']",1.07,205,25/28/15,-3,71%,142,16%,4,6,-2
all,tex,LEV,"['Gekko', 'Cypher']",0.94,176,28/32/11,-4,60%,117,32%,3,6,-3
all,Mazino,LEV,"['Skye', 'Deadlock']",0.86,152,24/31/11,-7,78%,105,30%,2,2,0
all,primmie,TLN,"['Yoru', 'Sage']",1.19,250,40/27/15,13,78%,149,39%,3,3,0
all,ban,TLN,"['Skye', 'Phoenix']",1.01,160,28/26/12,2,71%,102,37%,3,3,0
all,Governor,TLN,"['Neon', 'Sova']",0.89,194,28/33/13,-5,64%,126,17%,5,5,0
all,JitBoyS,TLN,"['Viper', 'Clove']",0.88,193,28/35/8,-7,71%,125,39%,8,6,2
all,Crws,TLN,"['Omen', 'Kayo']",0.6,130,20/34/10,-14,60%,93,12%,1,8,-7
Bind,kiNgg,LEV,['Brimstone'],1.44,264,25/15/7,10,67%,163,25%,3,2,1
Bind,aspas,LEV,['Raze'],1.19,272,21/19/7,2,63%,183,33%,6,3,3
Bind,C0M,LEV,['Viper'],1.01,159,12/14/8,-2,63%,103,34%,1,4,-3
Bind,Mazino,LEV,['Skye'],0.68,117,9/17/9,-8,79%,88,30%,0,0,0
Bind,tex,LEV,['Gekko'],0.56,112,9/19/5,-10,58%,80,24%,1,4,-3
Bind,ban,TLN,['Skye'],1.29,190,18/12/10,6,79%,122,38%,0,0,0
Bind,Governor,TLN,['Neon'],1.11,250,20/17/6,3,71%,157,22%,5,4,1
Bind,primmie,TLN,['Yoru'],1.08,222,18/14/10,4,79%,138,35%,2,2,0
Bind,JitBoyS,TLN,['Viper'],1.04,220,18/17/2,1,75%,143,47%,6,1,5
Bind,Crws,TLN,['Omen'],0.72,125,10/16/7,-6,63%,94,15%,0,4,-4
Ascent,aspas,LEV,['Jett'],1.39,215,16/10/3,6,90%,141,22%,5,0,5
Ascent,tex,LEV,['Cypher'],1.31,239,19/13/6,6,62%,160,39%,2,2,0
Ascent,kiNgg,LEV,['Omen'],1.24,196,16/9/8,7,90%,121,39%,2,1,1
Ascent,C0M,LEV,['Sova'],1.14,251,13/14/7,-1,81%,188,8%,3,2,1
Ascent,Mazino,LEV,['Deadlock'],1.04,186,15/14/2,1,76%,123,31%,2,2,0
Ascent,primmie,TLN,['Sage'],1.3,277,22/13/5,9,76%,161,43%,1,1,0
Ascent,ban,TLN,['Phoenix'],0.74,130,10/14/2,-4,62%,78,35%,3,3,0
Ascent,JitBoyS,TLN,['Clove'],0.72,165,10/18/6,-8,67%,104,28%,2,5,-3
Ascent,Governor,TLN,['Sova'],0.67,138,8/16/7,-8,57%,91,13%,0,1,-1
Ascent,Crws,TLN,['Kayo'],0.48,134,10/18/3,-8,57%,91,9%,1,4,-3
