Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,Flex1n,BLG,"['Omen', 'Viper']",1.15,227,32/30/12,2,79%,159,40%,5,4,1
all,Knight,BLG,"['Breach', 'Sage']",0.81,142,18/31/20,-13,64%,90,30%,0,2,-2
all,whzy,BLG,"['Neon', 'Jett']",0.71,232,27/37/11,-10,56%,140,23%,8,10,-2
all,Yosemite,BLG,"['Viper', 'Killjoy']",0.61,137,17/32/7,-15,54%,86,25%,1,2,-1
all,nephh,BLG,"['Fade', 'Kayo']",0.57,135,16/33/12,-17,54%,90,18%,1,6,-5
all,heat,KRÜ,"['Fade', 'Gekko']",1.49,265,39/18/7,21,90%,170,38%,5,2,3
all,mta,KRÜ,"['Viper', 'Sova']",1.37,217,32/20/11,12,87%,135,36%,6,3,3
all,keznit,KRÜ,"['Raze', 'Jett']",1.37,232,32/21/14,11,92%,174,16%,4,1,3
all,Shyy,KRÜ,['Killjoy'],1.17,261,40/24/6,16,74%,175,25%,5,3,2
all,Melser,KRÜ,"['Omen', 'Viper']",0.83,159,20/27/21,-7,79%,111,29%,4,6,-2
Lotus,Knight,BLG,['Breach'],1.08,178,14/17/11,-3,68%,106,34%,0,0,0
Lotus,Flex1n,BLG,['Omen'],0.99,215,16/19/6,-3,73%,169,33%,3,2,1
Lotus,whzy,BLG,['Neon'],0.91,242,16/20/9,-4,59%,142,22%,7,3,4
Lotus,nephh,BLG,['Fade'],0.75,159,11/17/8,-6,59%,98,16%,1,4,-3
Lotus,Yosemite,BLG,['Viper'],0.54,71,5/16/5,-11,55%,52,14%,0,2,-2
Lotus,keznit,KRÜ,['Raze'],1.42,258,17/12/11,5,95%,205,16%,3,0,3
Lotus,heat,KRÜ,['Fade'],1.36,244,21/11/4,10,91%,153,36%,1,1,0
Lotus,Shyy,KRÜ,['Killjoy'],1.18,263,23/13/3,10,73%,179,28%,2,3,-1
Lotus,mta,KRÜ,['Viper'],1.15,156,14/11/7,3,82%,99,24%,3,3,0
Lotus,Melser,KRÜ,['Omen'],0.87,181,14/15/9,-1,77%,124,32%,2,4,-2
Icebox,Flex1n,BLG,['Viper'],1.32,238,16/11/6,5,88%,146,57%,2,2,0
Icebox,Yosemite,BLG,['Killjoy'],0.68,202,12/16/2,-4,53%,131,31%,1,0,1
Icebox,Knight,BLG,['Sage'],0.54,105,4/14/9,-10,59%,70,24%,0,2,-2
Icebox,whzy,BLG,['Jett'],0.51,221,11/17/2,-6,53%,138,26%,1,7,-6
Icebox,nephh,BLG,['Kayo'],0.39,111,5/16/4,-11,47%,79,20%,0,2,-2
Icebox,heat,KRÜ,['Gekko'],1.62,285,18/7/3,11,88%,191,40%,4,1,3
Icebox,mta,KRÜ,['Sova'],1.6,278,18/9/4,9,94%,181,45%,3,0,3
Icebox,keznit,KRÜ,['Jett'],1.31,206,15/9/3,6,88%,134,17%,1,1,0
Icebox,Shyy,KRÜ,['Killjoy'],1.16,258,17/11/3,6,76%,169,21%,3,0,3
Icebox,Melser,KRÜ,['Viper'],0.79,136,6/12/12,-6,82%,94,25%,2,2,0
