Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,S1Mon,EDG,"['Kayo', 'Breach', 'Fade']",1.2,229,58/43/24,15,64%,143,28%,3,6,-3
all,Smoggy,EDG,"['Viper', 'Omen', 'Brimstone']",1.04,197,49/43/22,6,70%,120,23%,7,4,3
all,CHICHOO,EDG,"['Killjoy', 'Cypher', 'Viper']",1.02,203,50/43/11,7,74%,126,30%,12,4,8
all,ZmjjKK,EDG,"['Jett', 'Neon', 'Raze']",1.0,224,53/49/11,4,61%,149,20%,12,10,2
all,nobody,EDG,"['Sova', 'Gekko']",0.81,131,29/45/14,-16,65%,95,35%,5,6,-1
all,valyn,G2,"['Harbor', 'Omen', 'Brimstone']",1.11,215,54/43/17,11,72%,130,24%,5,3,2
all,icy,G2,"['Gekko', 'Yoru', 'Raze']",1.11,220,52/47/12,5,65%,145,26%,6,11,-5
all,trent,G2,"['Sova', 'Gekko']",0.91,174,44/48/15,-4,67%,119,38%,5,9,-4
all,leaf,G2,"['Killjoy', 'Viper']",0.87,186,40/52/13,-12,65%,130,19%,12,7,5
all,JonahP,G2,"['Viper', 'Skye']",0.85,150,33/49/26,-16,65%,102,17%,2,9,-7
Icebox,S1Mon,EDG,['Kayo'],1.39,260,19/12/13,7,76%,154,28%,1,1,0
Icebox,CHICHOO,EDG,['Killjoy'],1.31,268,21/12/2,9,81%,167,36%,3,1,2
Icebox,ZmjjKK,EDG,['Jett'],1.2,228,18/11/4,7,71%,134,25%,2,3,-1
Icebox,Smoggy,EDG,['Viper'],1.12,210,17/12/5,5,62%,115,15%,4,2,2
Icebox,nobody,EDG,['Sova'],0.62,104,6/15/4,-9,52%,70,26%,2,2,0
Icebox,icy,G2,['Gekko'],1.15,236,16/15/4,1,57%,167,29%,1,2,-1
Icebox,JonahP,G2,['Viper'],0.99,192,15/15/4,0,67%,135,28%,1,4,-3
Icebox,valyn,G2,['Harbor'],0.98,224,17/16/3,1,67%,135,29%,3,1,2
Icebox,leaf,G2,['Killjoy'],0.57,143,7/18/5,-11,52%,105,15%,3,2,1
Icebox,trent,G2,['Sova'],0.51,114,7/17/4,-10,52%,89,32%,1,3,-2
Haven,ZmjjKK,EDG,['Neon'],1.15,280,23/18/1,5,54%,185,21%,5,5,0
Haven,S1Mon,EDG,['Breach'],1.03,169,15/16/8,-1,58%,110,42%,0,3,-3
Haven,nobody,EDG,['Sova'],1.01,166,13/14/5,-1,71%,128,48%,0,3,-3
Haven,Smoggy,EDG,['Omen'],0.84,155,13/15/6,-2,67%,103,28%,2,1,1
Haven,CHICHOO,EDG,['Cypher'],0.8,120,10/13/4,-3,71%,77,22%,3,2,1
Haven,valyn,G2,['Omen'],1.21,224,19/13/7,6,79%,145,25%,2,0,2
Haven,trent,G2,['Sova'],1.2,212,19/14/5,5,79%,137,41%,2,3,-1
Haven,leaf,G2,['Killjoy'],1.06,216,18/16/2,2,71%,135,15%,7,1,6
Haven,icy,G2,['Yoru'],0.86,142,12/16/2,-4,67%,100,29%,2,4,-2
Haven,JonahP,G2,['Viper'],0.82,123,8/15/11,-7,63%,82,9%,1,2,-1
Bind,S1Mon,EDG,['Fade'],1.2,257,24/15/3,9,58%,165,23%,2,2,0
Bind,Smoggy,EDG,['Brimstone'],1.14,225,19/16/11,3,79%,142,28%,1,1,0
Bind,CHICHOO,EDG,['Viper'],0.96,220,19/18/5,1,71%,140,29%,6,1,5
Bind,nobody,EDG,['Gekko'],0.78,124,10/16/5,-6,71%,84,30%,3,1,2
Bind,ZmjjKK,EDG,['Raze'],0.65,165,12/20/6,-8,58%,126,16%,5,2,3
Bind,icy,G2,['Raze'],1.33,281,24/16/6,8,71%,172,22%,3,5,-2
Bind,valyn,G2,['Brimstone'],1.12,196,18/14/7,4,71%,112,20%,0,2,-2
Bind,trent,G2,['Gekko'],1.03,196,18/17/6,1,67%,128,37%,2,3,-1
Bind,leaf,G2,['Viper'],0.99,198,15/18/6,-3,71%,147,30%,2,4,-2
Bind,JonahP,G2,['Skye'],0.75,136,10/19/11,-9,67%,92,15%,0,3,-3
