Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,Smoggy,EDG,"['Viper', 'Omen', 'Clove']",1.39,265,52/31/17,21,76%,168,36%,6,3,3
all,CHICHOO,EDG,"['Killjoy', 'Cypher', 'Omen']",1.27,228,44/33/21,11,87%,152,29%,8,1,7
all,S1Mon,EDG,"['Kayo', 'Breach']",1.08,168,32/32/21,0,78%,111,30%,5,0,5
all,nobody,EDG,"['Sova', 'Fade']",1.02,212,39/39/21,0,67%,139,33%,4,6,-2
all,ZmjjKK,EDG,"['Jett', 'Neon']",0.87,198,38/42/14,-4,80%,131,32%,13,8,5
all,something,PRX,"['Jett', 'Gekko']",0.95,219,39/42/14,-3,70%,136,28%,7,9,-2
all,f0rsakeN,PRX,"['Sova', 'Breach', 'Cypher']",0.95,182,37/41/4,-4,56%,127,35%,2,8,-6
all,mindfreak,PRX,"['Viper', 'Omen']",0.93,201,37/41/19,-4,74%,136,28%,4,2,2
all,d4v41,PRX,"['Killjoy', 'Sage', 'Skye']",0.86,161,32/39/18,-7,70%,109,39%,3,5,-2
all,Jinggg,PRX,"['Sage', 'Raze']",0.81,194,32/42/19,-10,69%,130,13%,2,12,-10
Icebox,CHICHOO,EDG,['Killjoy'],1.05,253,14/14/2,0,81%,177,20%,2,1,1
Icebox,S1Mon,EDG,['Kayo'],0.89,178,9/13/7,-4,69%,125,27%,1,0,1
Icebox,Smoggy,EDG,['Viper'],0.84,253,14/14/3,0,75%,160,33%,1,3,-2
Icebox,ZmjjKK,EDG,['Jett'],0.59,154,9/13/2,-4,75%,108,28%,2,2,0
Icebox,nobody,EDG,['Sova'],0.58,134,6/14/4,-8,56%,90,29%,2,2,0
Icebox,f0rsakeN,PRX,['Sova'],1.76,308,21/9/3,12,81%,235,39%,2,1,1
Icebox,something,PRX,['Jett'],1.31,334,18/12/3,6,75%,208,31%,5,2,3
Icebox,mindfreak,PRX,['Viper'],1.1,228,14/12/6,2,81%,151,29%,0,0,0
Icebox,d4v41,PRX,['Killjoy'],1.08,150,8/8/7,0,88%,117,29%,0,2,-2
Icebox,Jinggg,PRX,['Sage'],0.87,131,7/11/10,-4,75%,85,10%,1,3,-2
Sunset,CHICHOO,EDG,['Cypher'],1.35,225,17/11/10,6,90%,165,37%,3,0,3
Sunset,Smoggy,EDG,['Omen'],1.35,212,17/11/4,6,71%,146,38%,2,0,2
Sunset,nobody,EDG,['Sova'],1.16,255,18/15/8,3,67%,166,34%,2,3,-1
Sunset,ZmjjKK,EDG,['Neon'],1.12,269,20/16/5,4,81%,173,35%,6,4,2
Sunset,S1Mon,EDG,['Kayo'],1.06,163,12/12/9,0,76%,111,25%,1,0,1
Sunset,mindfreak,PRX,['Omen'],1.23,272,18/15/10,3,76%,172,25%,3,1,2
Sunset,d4v41,PRX,['Sage'],1.01,209,17/16/4,1,62%,130,50%,2,1,1
Sunset,something,PRX,['Gekko'],0.87,189,13/17/10,-4,67%,134,36%,1,2,-1
Sunset,Jinggg,PRX,['Raze'],0.72,179,12/17/3,-5,57%,114,12%,1,5,-4
Sunset,f0rsakeN,PRX,['Breach'],0.27,65,5/19/0,-14,43%,43,13%,0,5,-5
Lotus,Smoggy,EDG,['Clove'],1.99,331,21/6/10,15,82%,202,36%,3,0,3
Lotus,CHICHOO,EDG,['Omen'],1.4,205,13/8/9,5,88%,112,30%,3,0,3
Lotus,nobody,EDG,['Fade'],1.32,246,15/10/9,5,76%,152,33%,0,1,-1
Lotus,S1Mon,EDG,['Breach'],1.3,164,11/7/5,4,88%,99,47%,3,0,3
Lotus,ZmjjKK,EDG,['Neon'],0.91,170,9/13/7,-4,82%,102,32%,5,2,3
Lotus,Jinggg,PRX,['Raze'],0.83,271,13/14/6,-1,76%,192,17%,0,4,-4
Lotus,f0rsakeN,PRX,['Cypher'],0.82,173,11/13/1,-2,47%,128,42%,0,2,-2
Lotus,something,PRX,['Jett'],0.68,133,8/13/1,-5,71%,69,5%,1,5,-4
Lotus,d4v41,PRX,['Skye'],0.48,125,7/15/7,-8,65%,77,37%,1,2,-1
Lotus,mindfreak,PRX,['Omen'],0.45,104,5/14/3,-9,65%,78,33%,1,1,0
