Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,Alfajer,FNC,['Killjoy'],1.4,291,45/28/9,17,79%,193,30%,6,3,3
all,Derke,FNC,"['Yoru', 'Raze']",0.89,197,28/32/7,-4,58%,117,26%,5,7,-2
all,hiro,FNC,"['Viper', 'Fade']",0.86,146,24/32/12,-8,77%,99,23%,2,4,-2
all,Chronicle,FNC,"['Sova', 'Viper']",0.8,147,20/31/10,-11,63%,104,19%,3,6,-3
all,Boaster,FNC,"['Astra', 'Omen']",0.74,115,16/29/11,-13,65%,70,22%,2,5,-3
all,BuZz,DRX,"['Jett', 'Raze']",1.36,298,47/26/2,21,74%,179,23%,14,5,9
all,MaKo,DRX,['Omen'],1.19,224,34/25/11,9,81%,146,30%,3,1,2
all,BeYN,DRX,"['Sova', 'Fade']",0.87,161,25/28/12,-3,77%,112,21%,2,5,-3
all,Flashback,DRX,"['Cypher', 'Viper']",0.85,138,22/23/12,-1,72%,88,28%,2,2,0
all,Foxy9,DRX,"['Kayo', 'Chamber']",0.77,146,23/31/14,-8,65%,111,33%,4,5,-1
Abyss,Alfajer,FNC,['Killjoy'],1.49,311,25/16/7,9,83%,210,23%,5,2,3
Abyss,Chronicle,FNC,['Sova'],0.95,144,12/15/6,-3,67%,107,26%,2,3,-1
Abyss,hiro,FNC,['Viper'],0.93,191,18/18/3,0,79%,121,20%,1,3,-2
Abyss,Derke,FNC,['Yoru'],0.73,146,12/18/4,-6,54%,94,27%,1,3,-2
Abyss,Boaster,FNC,['Astra'],0.56,90,7/16/4,-9,58%,55,35%,2,2,0
Abyss,BuZz,DRX,['Jett'],1.39,270,24/13/1,11,71%,165,20%,6,3,3
Abyss,MaKo,DRX,['Omen'],1.1,201,18/14/6,4,75%,134,31%,2,1,1
Abyss,Foxy9,DRX,['Kayo'],0.91,154,12/16/13,-4,71%,110,24%,1,1,0
Abyss,Flashback,DRX,['Cypher'],0.91,148,13/13/9,0,79%,95,39%,2,2,0
Abyss,BeYN,DRX,['Sova'],0.78,183,15/18/8,-3,79%,123,18%,2,4,-2
Lotus,Alfajer,FNC,['Killjoy'],1.3,271,20/12/2,8,74%,172,42%,1,1,0
Lotus,Derke,FNC,['Raze'],1.05,247,16/14/3,2,63%,145,25%,4,4,0
Lotus,Boaster,FNC,['Omen'],0.93,139,9/13/7,-4,74%,88,14%,0,3,-3
Lotus,hiro,FNC,['Fade'],0.79,101,6/14/9,-8,74%,72,33%,1,1,0
Lotus,Chronicle,FNC,['Viper'],0.64,150,8/16/4,-8,58%,101,13%,1,3,-2
Lotus,BuZz,DRX,['Raze'],1.34,325,23/13/1,10,79%,196,24%,8,2,6
Lotus,MaKo,DRX,['Omen'],1.28,246,16/11/5,5,89%,161,30%,1,0,1
Lotus,BeYN,DRX,['Fade'],0.96,138,10/10/4,0,74%,98,25%,0,1,-1
Lotus,Flashback,DRX,['Viper'],0.8,128,9/10/3,-1,63%,79,15%,0,0,0
Lotus,Foxy9,DRX,['Chamber'],0.64,137,11/15/1,-4,58%,113,57%,3,4,-1
