Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,Derke,FNC,"['Raze', 'Yoru']",1.45,301,65/42/19,23,88%,190,21%,12,12,0
all,Chronicle,FNC,"['Sova', 'Viper']",1.19,240,49/40/24,9,70%,172,28%,5,2,3
all,hiro,FNC,"['Cypher', 'Fade']",1.0,207,50/44/12,6,78%,127,29%,9,5,4
all,Alfajer,FNC,"['Breach', 'Iso', 'Killjoy']",0.94,176,40/44/21,-4,70%,130,27%,1,8,-7
all,Boaster,FNC,"['Astra', 'Omen']",0.89,157,38/41/21,-3,73%,96,26%,6,4,2
all,keznit,KRÜ,"['Neon', 'Raze']",1.08,237,50/51/21,-1,75%,164,22%,7,7,0
all,Shyy,KRÜ,"['Cypher', 'Killjoy']",1.06,210,49/42/16,7,73%,139,29%,8,7,1
all,heat,KRÜ,"['Breach', 'Fade']",0.81,161,39/48/17,-9,66%,101,33%,3,3,0
all,Melser,KRÜ,['Omen'],0.79,157,38/49/7,-11,61%,101,38%,6,10,-4
all,mta,KRÜ,"['Sova', 'Viper']",0.71,157,34/52/14,-18,58%,100,36%,7,6,1
Sunset,Chronicle,FNC,['Sova'],1.21,297,24/17/6,7,67%,200,31%,2,0,2
Sunset,Boaster,FNC,['Astra'],1.08,167,16/14/3,2,71%,100,36%,4,1,3
Sunset,hiro,FNC,['Cypher'],1.03,223,19/18/6,1,79%,154,35%,2,3,-1
Sunset,Alfajer,FNC,['Breach'],1.01,180,15/16/11,-1,67%,138,30%,0,3,-3
Sunset,Derke,FNC,['Raze'],0.85,201,14/20/9,-6,79%,160,25%,3,6,-3
Sunset,keznit,KRÜ,['Neon'],1.22,260,22/19/6,3,71%,179,26%,3,3,0
Sunset,Shyy,KRÜ,['Cypher'],1.13,265,21/17/9,4,83%,170,20%,6,3,3
Sunset,heat,KRÜ,['Breach'],1.03,191,18/17/8,1,67%,117,38%,1,0,1
Sunset,Melser,KRÜ,['Omen'],0.76,150,13/17/4,-4,54%,92,31%,2,4,-2
Sunset,mta,KRÜ,['Sova'],0.66,112,10/18/5,-8,54%,79,26%,1,1,0
Haven,Derke,FNC,['Yoru'],1.43,249,21/11/5,10,91%,151,33%,4,4,0
Haven,Chronicle,FNC,['Sova'],1.32,211,12/10/12,2,86%,164,31%,3,0,3
Haven,Boaster,FNC,['Omen'],1.08,188,15/13/11,2,77%,114,16%,2,1,1
Haven,Alfajer,FNC,['Iso'],1.05,235,18/17/6,1,77%,161,30%,0,2,-2
Haven,hiro,FNC,['Cypher'],0.89,151,13/14/3,-1,82%,89,29%,4,2,2
Haven,Shyy,KRÜ,['Cypher'],1.1,171,14/12/5,2,68%,107,42%,1,2,-1
Haven,keznit,KRÜ,['Neon'],0.82,208,14/18/7,-4,73%,135,18%,2,3,-1
Haven,mta,KRÜ,['Sova'],0.8,175,13/17/3,-4,55%,109,48%,2,3,-1
Haven,Melser,KRÜ,['Omen'],0.77,158,14/17/1,-3,64%,99,34%,2,3,-1
Haven,heat,KRÜ,['Breach'],0.73,129,10/15/6,-5,68%,80,38%,2,2,0
Lotus,Derke,FNC,['Raze'],2.07,453,30/11/5,19,94%,278,14%,5,2,3
Lotus,hiro,FNC,['Fade'],1.08,247,18/12/3,6,72%,139,23%,3,0,3
Lotus,Chronicle,FNC,['Viper'],1.06,213,13/13/6,0,56%,144,21%,0,2,-2
Lotus,Alfajer,FNC,['Killjoy'],0.76,114,7/11/4,-4,67%,81,19%,1,3,-2
Lotus,Boaster,FNC,['Omen'],0.5,117,7/14/7,-7,72%,68,26%,0,2,-2
Lotus,keznit,KRÜ,['Raze'],1.2,242,14/14/8,0,83%,181,21%,2,1,1
Lotus,Shyy,KRÜ,['Killjoy'],0.94,195,14/13/2,1,67%,137,36%,1,2,-1
Lotus,Melser,KRÜ,['Omen'],0.84,164,11/15/2,-4,67%,115,55%,2,3,-1
Lotus,heat,KRÜ,['Fade'],0.67,164,11/16/3,-5,61%,106,23%,0,1,-1
Lotus,mta,KRÜ,['Viper'],0.67,184,11/17/6,-6,67%,118,33%,4,2,2
