Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,Autumn,FPX,"['Viper', 'Chamber']",1.15,205,54/46/26,8,75%,137,30%,9,6,3
all,AAAAY,FPX,"['Fade', 'Gekko']",1.1,222,65/52/11,13,68%,142,35%,8,4,4
all,Lysoar,FPX,"['Cypher', 'Viper', 'Omen']",1.01,217,55/56/29,-1,76%,146,19%,5,3,2
all,BerLIN,FPX,"['Omen', 'Astra']",0.95,163,45/49/27,-4,72%,110,27%,8,6,2
all,Life,FPX,"['Yoru', 'Raze']",0.79,185,47/57/12,-10,63%,123,30%,12,15,-3
all,RieNs,TH,"['Sova', 'Gekko', 'Viper']",1.34,260,71/44/19,27,70%,173,36%,8,2,6
all,Wo0t,TH,"['Gekko', 'Fade', 'Omen']",1.03,185,50/52/32,-2,80%,119,34%,6,7,-1
all,benjyfishy,TH,"['Cypher', 'Viper', 'Killjoy']",1.02,196,52/54/20,-2,68%,139,35%,5,13,-8
all,Boo,TH,"['Astra', 'Brimstone', 'Fade']",0.86,172,47/56/29,-9,71%,107,28%,2,4,-2
all,MiniBoo,TH,"['Jett', 'Raze']",0.75,155,40/60/14,-20,57%,109,30%,13,16,-3
Abyss,AAAAY,FPX,['Fade'],1.38,291,27/18/2,9,73%,197,40%,5,3,2
Abyss,Autumn,FPX,['Viper'],1.09,214,19/18/9,1,77%,151,26%,0,1,-1
Abyss,Lysoar,FPX,['Cypher'],0.95,200,17/20/11,-3,65%,131,12%,2,2,0
Abyss,BerLIN,FPX,['Omen'],0.94,154,15/15/6,0,69%,107,20%,2,2,0
Abyss,Life,FPX,['Yoru'],0.62,139,12/20/3,-8,62%,96,29%,4,5,-1
Abyss,RieNs,TH,['Sova'],1.53,302,28/12/7,16,69%,202,32%,3,0,3
Abyss,Wo0t,TH,['Gekko'],1.21,268,25/18/8,7,88%,161,30%,4,2,2
Abyss,benjyfishy,TH,['Cypher'],0.79,147,13/19/6,-6,69%,108,29%,3,5,-2
Abyss,Boo,TH,['Astra'],0.68,157,16/21/7,-5,69%,99,30%,0,1,-1
Abyss,MiniBoo,TH,['Jett'],0.58,94,9/20/2,-11,58%,74,22%,3,5,-2
Bind,Autumn,FPX,['Chamber'],1.29,209,17/11/5,6,73%,144,32%,6,4,2
Bind,Lysoar,FPX,['Viper'],1.13,234,17/15/12,2,82%,165,21%,2,0,2
Bind,Life,FPX,['Yoru'],1.0,248,18/16/5,2,73%,157,28%,3,2,1
Bind,AAAAY,FPX,['Fade'],0.9,184,16/16/5,0,59%,104,25%,1,0,1
Bind,BerLIN,FPX,['Omen'],0.87,122,10/14/10,-4,82%,74,30%,1,3,-2
Bind,benjyfishy,TH,['Viper'],1.4,287,23/16/11,7,73%,223,42%,1,2,-1
Bind,RieNs,TH,['Gekko'],1.17,232,19/15/3,4,64%,153,38%,3,2,1
Bind,Boo,TH,['Brimstone'],0.93,136,10/14/11,-4,64%,88,45%,1,3,-2
Bind,Wo0t,TH,['Fade'],0.91,148,10/15/10,-5,77%,93,39%,1,2,-1
Bind,MiniBoo,TH,['Raze'],0.6,127,10/18/3,-8,45%,89,42%,3,4,-1
Lotus,Autumn,FPX,['Viper'],1.08,193,18/17/12,1,75%,120,34%,3,1,2
Lotus,BerLIN,FPX,['Astra'],1.03,212,20/20/11,0,68%,143,30%,5,1,4
Lotus,AAAAY,FPX,['Gekko'],1.01,192,22/18/4,4,71%,122,37%,2,1,1
Lotus,Lysoar,FPX,['Omen'],0.94,218,21/21/6,0,82%,145,23%,1,1,0
Lotus,Life,FPX,['Raze'],0.74,167,17/21/4,-4,57%,120,33%,5,8,-3
Lotus,RieNs,TH,['Viper'],1.33,245,24/17/9,7,75%,163,39%,2,0,2
Lotus,MiniBoo,TH,['Raze'],1.07,245,21/22/9,-1,64%,157,30%,7,7,0
Lotus,Wo0t,TH,['Omen'],0.98,140,15/19/14,-4,75%,101,37%,1,3,-2
Lotus,Boo,TH,['Fade'],0.97,222,21/21/11,0,79%,129,22%,1,0,1
Lotus,benjyfishy,TH,['Killjoy'],0.88,153,16/19/3,-3,64%,102,34%,1,6,-5
