Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,Meteor,GEN,"['Yoru', 'Killjoy', 'Cypher']",1.31,286,76/48/15,28,73%,184,43%,11,6,5
all,Karon,GEN,"['Astra', 'Omen', 'Brimstone']",1.04,188,51/47/29,4,68%,117,34%,7,4,3
all,t3xture,GEN,"['Jett', 'Raze']",0.93,211,49/56/13,-7,61%,149,22%,13,8,5
all,Munchkin,GEN,['Viper'],0.86,162,33/49/37,-16,76%,114,27%,7,6,1
all,Lakia,GEN,"['Sova', 'Fade', 'Skye']",0.76,127,30/53/29,-23,65%,81,23%,2,7,-5
all,Boo,TH,"['Astra', 'Fade']",1.15,221,55/46/36,9,83%,135,29%,8,7,1
all,RieNs,TH,"['Sova', 'Viper', 'Gekko']",1.1,183,47/45/15,2,77%,121,32%,4,6,-2
all,Wo0t,TH,"['Gekko', 'Omen', 'Skye']",1.06,196,50/47/20,3,72%,130,39%,4,6,-2
all,benjyfishy,TH,"['Cypher', 'Killjoy', 'Viper']",1.05,205,56/50/17,6,75%,134,39%,5,7,-2
all,MiniBoo,TH,"['Jett', 'Raze', 'Yoru']",0.82,181,45/51/14,-6,70%,121,32%,10,14,-4
Abyss,Meteor,GEN,['Yoru'],1.34,327,28/17/5,11,71%,206,37%,5,4,1
Abyss,Karon,GEN,['Astra'],1.15,171,16/13/12,3,67%,122,48%,2,0,2
Abyss,t3xture,GEN,['Jett'],1.04,244,21/19/2,2,58%,167,31%,4,2,2
Abyss,Munchkin,GEN,['Viper'],0.87,143,10/18/15,-8,75%,114,26%,2,2,0
Abyss,Lakia,GEN,['Sova'],0.81,128,10/17/6,-7,63%,77,14%,1,2,-1
Abyss,Boo,TH,['Astra'],1.35,245,22/15/15,7,79%,144,36%,2,3,-1
Abyss,Wo0t,TH,['Gekko'],1.11,201,17/16/4,1,63%,145,44%,1,0,1
Abyss,RieNs,TH,['Sova'],0.86,125,10/16/6,-6,67%,96,39%,1,2,-1
Abyss,benjyfishy,TH,['Cypher'],0.84,206,19/19/5,0,71%,133,45%,3,3,0
Abyss,MiniBoo,TH,['Jett'],0.7,193,16/19/3,-3,58%,129,37%,3,6,-3
Lotus,Meteor,GEN,['Killjoy'],1.27,268,25/17/5,8,71%,186,47%,3,1,2
Lotus,t3xture,GEN,['Raze'],1.09,249,20/19/6,1,67%,162,18%,8,1,7
Lotus,Lakia,GEN,['Fade'],1.03,190,16/18/16,-2,79%,124,24%,0,2,-2
Lotus,Munchkin,GEN,['Viper'],0.82,161,11/17/15,-6,83%,103,41%,2,3,-1
Lotus,Karon,GEN,['Omen'],0.58,135,12/20/8,-8,67%,80,38%,2,2,0
Lotus,RieNs,TH,['Viper'],1.21,195,18/15/4,3,92%,130,36%,2,3,-1
Lotus,Boo,TH,['Fade'],1.06,250,20/19/11,1,92%,157,20%,3,1,2
Lotus,Wo0t,TH,['Omen'],1.03,228,20/17/7,3,79%,140,41%,1,4,-3
Lotus,benjyfishy,TH,['Killjoy'],1.0,171,17/16/2,1,75%,121,33%,1,2,-1
Lotus,MiniBoo,TH,['Raze'],0.89,188,16/17/8,-1,79%,128,24%,2,5,-3
Bind,Karon,GEN,['Brimstone'],1.38,258,23/14/9,9,70%,150,25%,3,2,1
Bind,Meteor,GEN,['Cypher'],1.32,263,23/14/5,9,78%,159,47%,3,1,2
Bind,Munchkin,GEN,['Viper'],0.88,183,12/14/7,-2,70%,126,20%,3,1,2
Bind,t3xture,GEN,['Raze'],0.67,141,8/18/5,-10,57%,116,20%,1,5,-4
Bind,Lakia,GEN,['Skye'],0.43,63,4/18/7,-14,52%,40,33%,1,3,-2
Bind,benjyfishy,TH,['Viper'],1.3,237,20/15/10,5,78%,149,40%,1,2,-1
Bind,RieNs,TH,['Gekko'],1.21,230,19/14/5,5,74%,136,28%,1,1,0
Bind,Boo,TH,['Astra'],1.05,169,13/12/10,1,78%,103,41%,3,3,0
Bind,Wo0t,TH,['Skye'],1.04,159,13/14/9,-1,74%,105,28%,2,2,0
Bind,MiniBoo,TH,['Yoru'],0.87,162,13/15/3,-2,74%,106,38%,5,3,2
