Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,aspas,LEV,"['Jett', 'Neon']",1.3,217,36/26/8,10,84%,147,39%,7,4,3
all,Mazino,LEV,"['Harbor', 'Breach']",1.25,229,33/30/17,3,72%,145,29%,4,5,-1
all,kiNgg,LEV,"['Viper', 'Omen']",1.17,199,34/26/8,8,77%,134,37%,5,2,3
all,C0M,LEV,['Sova'],1.16,210,32/28/10,4,74%,145,24%,4,1,3
all,tex,LEV,"['Killjoy', 'Cypher']",0.97,218,31/36/11,-5,65%,128,34%,6,5,1
all,Sayf,VIT,"['Jett', 'Neon']",0.96,226,34/31/4,3,58%,137,25%,5,9,-4
all,trexx,VIT,['Sova'],0.89,212,34/34/10,0,65%,140,20%,3,5,-2
all,Kicks,VIT,"['Gekko', 'Kayo']",0.83,164,26/33/16,-7,70%,119,36%,3,3,0
all,ceNder,VIT,"['Viper', 'Omen']",0.72,170,27/33/13,-6,72%,116,31%,3,7,-4
all,runneR,VIT,"['Killjoy', 'Cypher']",0.7,199,25/35/15,-10,67%,133,18%,3,2,1
Icebox,aspas,LEV,['Jett'],1.22,222,21/16/3,5,85%,143,39%,5,3,2
Icebox,kiNgg,LEV,['Viper'],1.16,229,22/17/6,5,77%,148,39%,2,2,0
Icebox,Mazino,LEV,['Harbor'],1.05,197,18/18/3,0,58%,130,26%,2,4,-2
Icebox,C0M,LEV,['Sova'],0.89,186,16/20/7,-4,69%,146,31%,2,1,1
Icebox,tex,LEV,['Killjoy'],0.62,171,15/24/4,-9,58%,112,32%,2,3,-1
Icebox,trexx,VIT,['Sova'],1.07,225,22/19/8,3,62%,148,20%,2,3,-1
Icebox,Kicks,VIT,['Gekko'],1.05,216,20/19/5,1,69%,145,37%,3,0,3
Icebox,ceNder,VIT,['Viper'],1.01,208,19/18/8,1,77%,140,37%,2,4,-2
Icebox,Sayf,VIT,['Jett'],1.0,195,20/17/1,3,58%,121,36%,4,6,-2
Icebox,runneR,VIT,['Killjoy'],0.79,179,14/19/9,-5,73%,129,18%,2,0,2
Sunset,Mazino,LEV,['Breach'],1.45,260,15/12/14,3,94%,169,34%,2,1,1
Sunset,C0M,LEV,['Sova'],1.43,233,16/8/3,8,82%,144,16%,2,0,2
Sunset,aspas,LEV,['Neon'],1.39,212,15/10/5,5,82%,155,39%,2,1,1
Sunset,tex,LEV,['Cypher'],1.32,264,16/12/7,4,76%,153,37%,4,2,2
Sunset,kiNgg,LEV,['Omen'],1.19,168,12/9/2,3,76%,114,33%,3,0,3
Sunset,Sayf,VIT,['Neon'],0.93,256,14/14/3,0,59%,160,18%,1,3,-2
Sunset,trexx,VIT,['Sova'],0.7,198,12/15/2,-3,71%,128,19%,1,2,-1
Sunset,Kicks,VIT,['Kayo'],0.61,112,6/14/11,-8,71%,80,35%,0,3,-3
Sunset,runneR,VIT,['Cypher'],0.6,218,11/16/6,-5,59%,140,17%,1,2,-1
Sunset,ceNder,VIT,['Omen'],0.42,132,8/15/5,-7,65%,80,19%,1,3,-2
