Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,aspas,LEV,"['Raze', 'Neon', 'Jett']",1.07,232,54/43/12,11,68%,154,32%,10,8,2
all,kiNgg,LEV,"['Brimstone', 'Omen']",1.04,188,39/40/26,-1,78%,120,37%,4,9,-5
all,tex,LEV,"['Gekko', 'Cypher']",0.93,204,48/46/11,2,70%,137,31%,5,5,0
all,C0M,LEV,"['Viper', 'Sova']",0.87,176,38/45/12,-7,59%,131,21%,5,4,1
all,Mazino,LEV,"['Skye', 'Breach', 'Deadlock']",0.75,167,34/49/22,-15,65%,101,30%,6,7,-1
all,Kai,TE,"['Cypher', 'Jett']",1.28,240,52/42/14,10,71%,159,29%,11,7,4
all,FengF,TE,"['Raze', 'Killjoy']",1.07,232,50/45/8,5,71%,155,31%,7,9,-2
all,Biank,TE,"['Skye', 'Sova']",1.04,187,37/42/29,-5,70%,114,11%,7,8,-1
all,LuoK1ng,TE,"['Brimstone', 'Omen']",1.02,187,43/44/25,-1,76%,113,38%,6,2,4
all,heybay,TE,"['Deadlock', 'Breach', 'Kayo']",1.0,179,41/40/23,1,75%,121,25%,2,4,-2
Bind,tex,LEV,['Gekko'],1.15,249,22/14/2,8,78%,162,42%,3,1,2
Bind,aspas,LEV,['Raze'],1.1,235,18/15/4,3,70%,146,32%,5,2,3
Bind,C0M,LEV,['Viper'],0.84,192,15/16/2,-1,61%,135,24%,2,2,0
Bind,kiNgg,LEV,['Brimstone'],0.68,95,6/15/13,-9,70%,64,20%,1,2,-1
Bind,Mazino,LEV,['Skye'],0.63,139,9/17/7,-8,57%,99,31%,1,4,-3
Bind,Kai,TE,['Cypher'],1.19,225,17/17/6,0,61%,136,27%,4,4,0
Bind,heybay,TE,['Deadlock'],1.09,165,14/11/4,3,70%,110,14%,0,1,-1
Bind,Biank,TE,['Skye'],1.09,173,13/13/6,0,74%,100,17%,2,3,-1
Bind,LuoK1ng,TE,['Brimstone'],1.08,196,16/15/8,1,78%,130,34%,3,0,3
Bind,FengF,TE,['Raze'],1.06,215,17/14/2,3,74%,142,35%,2,4,-2
Sunset,aspas,LEV,['Neon'],1.53,288,23/13/8,10,86%,200,36%,5,3,2
Sunset,C0M,LEV,['Sova'],1.24,210,14/13/9,1,68%,174,25%,3,0,3
Sunset,kiNgg,LEV,['Omen'],1.2,203,17/12/5,5,86%,138,38%,2,3,-1
Sunset,tex,LEV,['Cypher'],1.05,222,18/16/4,2,64%,140,30%,2,1,1
Sunset,Mazino,LEV,['Breach'],0.88,173,15/16/10,-1,82%,92,41%,3,0,3
Sunset,heybay,TE,['Breach'],1.16,229,18/17/12,1,82%,159,36%,0,1,-1
Sunset,Kai,TE,['Cypher'],1.02,215,16/15/3,1,73%,157,31%,2,2,0
Sunset,Biank,TE,['Sova'],0.81,159,11/17/11,-6,68%,99,4%,2,5,-3
Sunset,LuoK1ng,TE,['Omen'],0.74,146,13/18/7,-5,68%,79,46%,1,2,-1
Sunset,FengF,TE,['Raze'],0.63,182,12/20/5,-8,64%,134,27%,2,5,-3
Ascent,kiNgg,LEV,['Omen'],1.23,267,16/13/8,3,78%,170,43%,1,4,-3
Ascent,Mazino,LEV,['Deadlock'],0.73,190,10/16/5,-6,56%,116,23%,2,3,-1
Ascent,tex,LEV,['Cypher'],0.59,142,8/16/5,-8,67%,100,20%,0,3,-3
Ascent,aspas,LEV,['Jett'],0.58,174,13/15/0,-2,44%,107,26%,0,3,-3
Ascent,C0M,LEV,['Sova'],0.53,125,9/16/1,-7,44%,72,13%,0,2,-2
Ascent,Kai,TE,['Jett'],1.61,281,19/10/5,9,83%,191,30%,5,1,4
Ascent,FengF,TE,['Killjoy'],1.52,300,21/11/1,10,78%,198,32%,3,0,3
Ascent,LuoK1ng,TE,['Omen'],1.25,219,14/11/10,3,83%,133,36%,2,0,2
Ascent,Biank,TE,['Sova'],1.21,230,13/12/12,1,67%,151,11%,3,0,3
Ascent,heybay,TE,['Kayo'],0.76,142,9/12/7,-3,72%,89,27%,2,2,0
