Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,primmie,TLN,"['Clove', 'Raze']",1.1,237,35/30/8,5,70%,156,34%,4,2,2
all,ban,TLN,"['Deadlock', 'Cypher']",0.89,208,30/30/5,0,73%,138,40%,4,4,0
all,Governor,TLN,"['Raze', 'Deadlock']",0.76,173,22/33/8,-11,60%,113,24%,5,10,-5
all,JitBoyS,TLN,['Omen'],0.74,171,22/34/11,-12,73%,110,30%,4,0,4
all,Crws,TLN,['Fade'],0.56,138,18/33/10,-15,63%,90,27%,3,4,-1
all,Kicks,VIT,"['Breach', 'Kayo']",1.47,273,40/23/23,17,85%,163,26%,4,2,2
all,Sayf,VIT,"['Raze', 'Neon']",1.16,227,33/25/10,8,73%,155,25%,4,5,-1
all,runneR,VIT,['Cypher'],1.1,216,31/27/7,4,75%,138,20%,7,3,4
all,trexx,VIT,"['Fade', 'Sova']",1.07,209,28/26/20,2,83%,141,21%,2,2,0
all,ceNder,VIT,['Omen'],1.0,192,28/26/16,2,70%,117,25%,3,8,-5
Lotus,primmie,TLN,['Clove'],0.98,192,14/15/4,-1,68%,133,39%,1,0,1
Lotus,Governor,TLN,['Raze'],0.88,184,10/16/2,-6,58%,122,20%,4,3,1
Lotus,ban,TLN,['Deadlock'],0.87,184,12/14/2,-2,68%,118,31%,3,2,1
Lotus,JitBoyS,TLN,['Omen'],0.75,185,12/15/3,-3,63%,115,34%,2,0,2
Lotus,Crws,TLN,['Fade'],0.57,123,7/14/7,-7,68%,78,15%,1,3,-2
Lotus,Kicks,VIT,['Breach'],1.65,299,22/9/13,13,79%,196,33%,0,1,-1
Lotus,trexx,VIT,['Fade'],1.42,285,19/10/11,9,95%,185,20%,1,1,0
Lotus,Sayf,VIT,['Raze'],1.03,190,11/11/6,0,79%,129,13%,1,2,-1
Lotus,ceNder,VIT,['Omen'],0.93,187,12/12/7,0,79%,119,27%,2,5,-3
Lotus,runneR,VIT,['Cypher'],0.89,153,10/13/3,-3,68%,102,19%,4,2,2
Sunset,primmie,TLN,['Raze'],1.22,281,21/15/4,6,71%,177,31%,3,2,1
Sunset,ban,TLN,['Cypher'],0.91,232,18/16/3,2,76%,155,46%,1,2,-1
Sunset,JitBoyS,TLN,['Omen'],0.73,157,10/19/8,-9,81%,106,27%,2,0,2
Sunset,Governor,TLN,['Deadlock'],0.65,161,12/17/6,-5,62%,106,30%,1,7,-6
Sunset,Crws,TLN,['Fade'],0.56,153,11/19/3,-8,57%,100,45%,2,1,1
Sunset,runneR,VIT,['Cypher'],1.3,278,21/14/4,7,81%,171,20%,3,1,2
Sunset,Sayf,VIT,['Neon'],1.29,264,22/14/4,8,67%,178,36%,3,3,0
Sunset,Kicks,VIT,['Kayo'],1.29,246,18/14/10,4,90%,133,19%,4,1,3
Sunset,ceNder,VIT,['Omen'],1.07,196,16/14/9,2,62%,116,24%,1,3,-2
Sunset,trexx,VIT,['Sova'],0.73,133,9/16/9,-7,71%,101,25%,1,1,0
