Map,Player Name,Team Name,Hero Name,Rating,ACS,KDA,PM,KAST,ADR,HS,FK,FD,FPM
all,trexx,VIT,"['Sova', 'Fade']",1.38,252,61/39/22,22,71%,173,27%,8,3,5
all,ceNder,VIT,['Omen'],0.94,149,41/48/19,-7,63%,98,30%,4,8,-4
all,Sayf,VIT,"['Jett', 'Neon', 'Raze']",0.94,188,42/50/19,-8,69%,131,30%,7,11,-4
all,runneR,VIT,"['Killjoy', 'Cypher', 'Viper']",0.91,203,45/53/18,-8,65%,139,21%,10,9,1
all,Kicks,VIT,"['Kayo', 'Gekko']",0.89,146,29/47/36,-18,65%,96,15%,2,6,-4
all,LuoK1ng,TE,"['Omen', 'Brimstone']",1.18,253,64/44/19,20,79%,162,36%,6,3,3
all,Kai,TE,"['Jett', 'Cypher']",1.04,203,51/44/12,7,68%,141,32%,9,8,1
all,heybay,TE,"['Kayo', 'Breach', 'Deadlock']",0.97,159,37/44/28,-7,81%,102,26%,4,2,2
all,FengF,TE,"['Killjoy', 'Raze']",0.94,183,46/42/4,4,65%,120,28%,11,9,2
all,Biank,TE,"['Sova', 'Skye']",0.91,169,38/45/24,-7,65%,115,17%,7,9,-2
Ascent,trexx,VIT,['Sova'],1.46,271,26/17/10,9,64%,182,28%,3,2,1
Ascent,ceNder,VIT,['Omen'],0.94,152,15/20/10,-5,57%,107,32%,1,6,-5
Ascent,Sayf,VIT,['Jett'],0.92,153,16/20/5,-4,64%,106,31%,3,5,-2
Ascent,runneR,VIT,['Killjoy'],0.9,233,21/24/2,-3,64%,157,25%,4,4,0
Ascent,Kicks,VIT,['Kayo'],0.8,103,8/20/15,-12,50%,79,16%,0,0,0
Ascent,LuoK1ng,TE,['Omen'],1.28,265,27/17/9,10,75%,171,43%,3,2,1
Ascent,Kai,TE,['Jett'],1.14,241,25/18/2,7,68%,165,26%,5,4,1
Ascent,Biank,TE,['Sova'],0.92,192,18/17/9,1,64%,125,15%,3,1,2
Ascent,FengF,TE,['Killjoy'],0.89,170,19/17/3,2,61%,122,35%,4,4,0
Ascent,heybay,TE,['Kayo'],0.78,120,12/17/8,-5,75%,77,28%,2,0,2
Sunset,trexx,VIT,['Sova'],1.89,312,24/8/9,16,85%,218,33%,1,0,1
Sunset,ceNder,VIT,['Omen'],1.2,165,14/12/6,2,75%,106,26%,3,1,2
Sunset,Kicks,VIT,['Kayo'],1.19,160,8/11/19,-3,80%,107,16%,2,2,0
Sunset,Sayf,VIT,['Neon'],1.16,202,13/13/10,0,80%,148,31%,2,2,0
Sunset,runneR,VIT,['Cypher'],1.12,211,15/13/5,2,65%,135,22%,5,2,3
Sunset,LuoK1ng,TE,['Omen'],0.93,234,16/15/4,1,80%,154,25%,2,1,1
Sunset,Kai,TE,['Cypher'],0.82,177,13/14/4,-1,60%,119,39%,1,2,-1
Sunset,FengF,TE,['Raze'],0.73,176,12/15/1,-3,55%,109,16%,2,4,-2
Sunset,Biank,TE,['Sova'],0.71,152,10/15/5,-5,50%,106,19%,2,5,-3
Sunset,heybay,TE,['Breach'],0.6,102,5/15/9,-10,75%,72,22%,0,1,-1
Bind,trexx,VIT,['Fade'],0.79,172,11/14/3,-3,65%,115,18%,4,1,3
Bind,Sayf,VIT,['Raze'],0.74,210,13/17/4,-4,65%,151,28%,2,4,-2
Bind,runneR,VIT,['Viper'],0.71,164,9/16/11,-7,65%,117,14%,1,3,-2
Bind,Kicks,VIT,['Gekko'],0.68,174,13/16/2,-3,70%,107,11%,0,4,-4
Bind,ceNder,VIT,['Omen'],0.67,129,12/16/3,-4,60%,79,33%,0,1,-1
Bind,heybay,TE,['Deadlock'],1.53,256,20/12/11,8,95%,168,26%,2,1,1
Bind,LuoK1ng,TE,['Brimstone'],1.31,260,21/12/6,9,85%,158,39%,1,0,1
Bind,FengF,TE,['Raze'],1.19,204,15/10/0,5,80%,128,31%,5,1,4
Bind,Kai,TE,['Cypher'],1.17,191,13/12/6,1,75%,131,33%,3,2,1
Bind,Biank,TE,['Skye'],1.08,162,10/13/10,-3,80%,111,18%,2,3,-1
